MIA,Miami,Marlins,NL,East
SDN,San Diego,Padres,NL,West
COL,Colorado,Rockies,NL,West
CHA,Chicago,White Sox,AL,Central
CIN,Cincinnati,Reds,NL,Central
MIN,Minnesota,Twins,AL,Central
KCA,Kansas City,Royals,AL,Central
NYN,New York,Mets,NL,East
PHI,Philadelphia,Phillies,NL,East
ARI,Arizona,Diamondbacks,NL,West
SEA,Seattle,Mariners,AL,West
PIT,Pittsburgh,Pirates,NL,East
HOU,Houston,Astros,AL,West
BAL,Baltimore,Orioles,AL,East
DET,Detroit,Tigers,AL,Central
SFN,San Francisco,Giants,NL,West
MIL,Milwaukee,Brewers,NL,Central
CHN,Chicago,Cubs,NL,Central
ATL,Atlanta,Braves,NL,Central
TOR,Toronto,Blue Jays,AL,East
ANA,Anaheim,Angels,AL,West
WAS,Washington,Nationals,NL,East
OAK,Oakland,Athletics,AL,West
CLE,Cleveland,Indians,AL,Central
TEX,Texas,Rangers,AL,West
SLN,St. Louis,Cardinals,NL,Central
TBA,Tampa Bay,Rays,AL,East
LAN,Los Angeles,Dodgers,NL,West
BOS,Boston,Red Sox,AL,East
NYA,New York,Yankees,AL,East
